# energy dos
-2.971499999999999986e+01 0.000000000000000000e+00
-2.970260000000000034e+01 0.000000000000000000e+00
-2.969019999999999726e+01 0.000000000000000000e+00
-2.967789999999999750e+01 0.000000000000000000e+00
-2.966549999999999798e+01 0.000000000000000000e+00
-2.965309999999999846e+01 0.000000000000000000e+00
-2.964079999999999870e+01 0.000000000000000000e+00
-2.962839999999999918e+01 0.000000000000000000e+00
-2.961609999999999943e+01 0.000000000000000000e+00
-2.960369999999999990e+01 0.000000000000000000e+00
-2.959130000000000038e+01 0.000000000000000000e+00
-2.957899999999999707e+01 0.000000000000000000e+00
-2.956659999999999755e+01 0.000000000000000000e+00
-2.955429999999999779e+01 0.000000000000000000e+00
-2.954189999999999827e+01 0.000000000000000000e+00
-2.952949999999999875e+01 0.000000000000000000e+00
-2.951719999999999899e+01 0.000000000000000000e+00
-2.950479999999999947e+01 0.000000000000000000e+00
-2.949239999999999995e+01 0.000000000000000000e+00
-2.948010000000000019e+01 0.000000000000000000e+00
-2.946769999999999712e+01 0.000000000000000000e+00
-2.945539999999999736e+01 0.000000000000000000e+00
-2.944299999999999784e+01 0.000000000000000000e+00
-2.943059999999999832e+01 0.000000000000000000e+00
-2.941829999999999856e+01 0.000000000000000000e+00
-2.940589999999999904e+01 0.000000000000000000e+00
-2.939359999999999928e+01 0.000000000000000000e+00
-2.938119999999999976e+01 0.000000000000000000e+00
-2.936880000000000024e+01 0.000000000000000000e+00
-2.935650000000000048e+01 0.000000000000000000e+00
-2.934409999999999741e+01 0.000000000000000000e+00
-2.933169999999999789e+01 0.000000000000000000e+00
-2.931939999999999813e+01 0.000000000000000000e+00
-2.930699999999999861e+01 0.000000000000000000e+00
-2.929469999999999885e+01 0.000000000000000000e+00
-2.928229999999999933e+01 0.000000000000000000e+00
-2.926989999999999981e+01 0.000000000000000000e+00
-2.925760000000000005e+01 0.000000000000000000e+00
-2.924520000000000053e+01 0.000000000000000000e+00
-2.923289999999999722e+01 0.000000000000000000e+00
-2.922049999999999770e+01 0.000000000000000000e+00
-2.920809999999999818e+01 0.000000000000000000e+00
-2.919579999999999842e+01 0.000000000000000000e+00
-2.918339999999999890e+01 0.000000000000000000e+00
-2.917099999999999937e+01 0.000000000000000000e+00
-2.915869999999999962e+01 0.000000000000000000e+00
-2.914630000000000010e+01 0.000000000000000000e+00
-2.913400000000000034e+01 0.000000000000000000e+00
-2.912159999999999727e+01 0.000000000000000000e+00
-2.910919999999999774e+01 0.000000000000000000e+00
-2.909689999999999799e+01 0.000000000000000000e+00
-2.908449999999999847e+01 0.000000000000000000e+00
-2.907219999999999871e+01 0.000000000000000000e+00
-2.905979999999999919e+01 0.000000000000000000e+00
-2.904739999999999966e+01 0.000000000000000000e+00
-2.903509999999999991e+01 0.000000000000000000e+00
-2.902270000000000039e+01 0.000000000000000000e+00
-2.901029999999999731e+01 0.000000000000000000e+00
-2.899799999999999756e+01 0.000000000000000000e+00
-2.898559999999999803e+01 0.000000000000000000e+00
-2.897329999999999828e+01 0.000000000000000000e+00
