# energy dos
-2.979700000000000060e+01 0.000000000000000000e+00
-2.978420000000000201e+01 0.000000000000000000e+00
-2.977149999999999963e+01 0.000000000000000000e+00
-2.975880000000000081e+01 0.000000000000000000e+00
-2.974600000000000222e+01 0.000000000000000000e+00
-2.973329999999999984e+01 0.000000000000000000e+00
-2.972060000000000102e+01 0.000000000000000000e+00
-2.970780000000000243e+01 0.000000000000000000e+00
-2.969510000000000005e+01 0.000000000000000000e+00
-2.968240000000000123e+01 0.000000000000000000e+00
-2.966960000000000264e+01 0.000000000000000000e+00
-2.965690000000000026e+01 0.000000000000000000e+00
-2.964420000000000144e+01 0.000000000000000000e+00
-2.963139999999999930e+01 0.000000000000000000e+00
-2.961870000000000047e+01 0.000000000000000000e+00
-2.960590000000000188e+01 0.000000000000000000e+00
-2.959319999999999951e+01 0.000000000000000000e+00
-2.958050000000000068e+01 0.000000000000000000e+00
-2.956770000000000209e+01 0.000000000000000000e+00
-2.955499999999999972e+01 0.000000000000000000e+00
-2.954230000000000089e+01 0.000000000000000000e+00
-2.952950000000000230e+01 0.000000000000000000e+00
-2.951679999999999993e+01 0.000000000000000000e+00
-2.950410000000000110e+01 0.000000000000000000e+00
-2.949130000000000251e+01 0.000000000000000000e+00
-2.947860000000000014e+01 0.000000000000000000e+00
-2.946590000000000131e+01 0.000000000000000000e+00
-2.945309999999999917e+01 0.000000000000000000e+00
-2.944040000000000035e+01 0.000000000000000000e+00
-2.942770000000000152e+01 0.000000000000000000e+00
-2.941489999999999938e+01 0.000000000000000000e+00
-2.940220000000000056e+01 0.000000000000000000e+00
-2.938950000000000173e+01 0.000000000000000000e+00
-2.937669999999999959e+01 0.000000000000000000e+00
-2.936400000000000077e+01 0.000000000000000000e+00
-2.935130000000000194e+01 0.000000000000000000e+00
-2.933849999999999980e+01 0.000000000000000000e+00
-2.932580000000000098e+01 0.000000000000000000e+00
-2.931310000000000215e+01 0.000000000000000000e+00
-2.930030000000000001e+01 0.000000000000000000e+00
-2.928760000000000119e+01 0.000000000000000000e+00
-2.927490000000000236e+01 0.000000000000000000e+00
-2.926210000000000022e+01 0.000000000000000000e+00
-2.924940000000000140e+01 0.000000000000000000e+00
-2.923670000000000258e+01 0.000000000000000000e+00
-2.922390000000000043e+01 0.000000000000000000e+00
-2.921120000000000161e+01 0.000000000000000000e+00
-2.919849999999999923e+01 0.000000000000000000e+00
-2.918570000000000064e+01 0.000000000000000000e+00
-2.917300000000000182e+01 0.000000000000000000e+00
-2.916029999999999944e+01 0.000000000000000000e+00
-2.914750000000000085e+01 0.000000000000000000e+00
-2.913480000000000203e+01 0.000000000000000000e+00
-2.912209999999999965e+01 0.000000000000000000e+00
