# energy s p d
-2.979700000000000060e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.978420000000000201e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.977149999999999963e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.975880000000000081e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.974600000000000222e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.973329999999999984e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.972060000000000102e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.970780000000000243e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.969510000000000005e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.968240000000000123e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.966960000000000264e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.965690000000000026e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.964420000000000144e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.963139999999999930e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.961870000000000047e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.960590000000000188e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.959319999999999951e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.958050000000000068e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.956770000000000209e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.955499999999999972e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.954230000000000089e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.952950000000000230e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.951679999999999993e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.950410000000000110e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.949130000000000251e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.947860000000000014e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.946590000000000131e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.945309999999999917e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.944040000000000035e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.942770000000000152e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.941489999999999938e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.940220000000000056e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.938950000000000173e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.937669999999999959e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.936400000000000077e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.935130000000000194e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.933849999999999980e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.932580000000000098e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.931310000000000215e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.930030000000000001e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.928760000000000119e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.927490000000000236e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.926210000000000022e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.924940000000000140e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.923670000000000258e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.922390000000000043e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.921120000000000161e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.919849999999999923e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.918570000000000064e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.917300000000000182e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.916029999999999944e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.914750000000000085e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.913480000000000203e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.912209999999999965e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.910930000000000106e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.909660000000000224e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.908389999999999986e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.907110000000000127e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.905840000000000245e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.904560000000000031e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.903290000000000148e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.902020000000000266e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.900740000000000052e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.899470000000000169e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.898199999999999932e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.896920000000000073e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.895650000000000190e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.894379999999999953e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.893100000000000094e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.891830000000000211e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.890559999999999974e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.889280000000000115e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.888010000000000232e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.886739999999999995e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.885460000000000136e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.884190000000000254e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.882920000000000016e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.881640000000000157e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.880369999999999919e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.879100000000000037e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.877820000000000178e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.876549999999999940e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.875280000000000058e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.874000000000000199e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.872729999999999961e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.871460000000000079e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.870180000000000220e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.868909999999999982e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.867640000000000100e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.866360000000000241e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.865090000000000003e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.863820000000000121e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
-2.862540000000000262e+01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
